"date","hits","keyword","geo","time","gprop","category"
2021-06-27,52,"Netflix","US","today+5-y","web",0
2021-07-04,53,"Netflix","US","today+5-y","web",0
2021-07-11,51,"Netflix","US","today+5-y","web",0
2021-07-18,48,"Netflix","US","today+5-y","web",0
2021-07-25,46,"Netflix","US","today+5-y","web",0
2021-08-01,48,"Netflix","US","today+5-y","web",0
2021-08-08,48,"Netflix","US","today+5-y","web",0
2021-08-15,49,"Netflix","US","today+5-y","web",0
2021-08-22,50,"Netflix","US","today+5-y","web",0
2021-08-29,48,"Netflix","US","today+5-y","web",0
2021-09-05,48,"Netflix","US","today+5-y","web",0
2021-09-12,47,"Netflix","US","today+5-y","web",0
2021-09-19,50,"Netflix","US","today+5-y","web",0
2021-09-26,51,"Netflix","US","today+5-y","web",0
2021-10-03,55,"Netflix","US","today+5-y","web",0
2021-10-10,53,"Netflix","US","today+5-y","web",0
2021-10-17,56,"Netflix","US","today+5-y","web",0
2021-10-24,49,"Netflix","US","today+5-y","web",0
2021-10-31,50,"Netflix","US","today+5-y","web",0
2021-11-07,50,"Netflix","US","today+5-y","web",0
2021-11-14,48,"Netflix","US","today+5-y","web",0
2021-11-21,55,"Netflix","US","today+5-y","web",0
2021-11-28,49,"Netflix","US","today+5-y","web",0
2021-12-05,47,"Netflix","US","today+5-y","web",0
2021-12-12,50,"Netflix","US","today+5-y","web",0
2021-12-19,53,"Netflix","US","today+5-y","web",0
2021-12-26,62,"Netflix","US","today+5-y","web",0
2022-01-02,64,"Netflix","US","today+5-y","web",0
2022-01-09,58,"Netflix","US","today+5-y","web",0
2022-01-16,58,"Netflix","US","today+5-y","web",0
2022-01-23,52,"Netflix","US","today+5-y","web",0
2022-01-30,58,"Netflix","US","today+5-y","web",0
2022-02-06,52,"Netflix","US","today+5-y","web",0
2022-02-13,49,"Netflix","US","today+5-y","web",0
2022-02-20,54,"Netflix","US","today+5-y","web",0
2022-02-27,50,"Netflix","US","today+5-y","web",0
2022-03-06,52,"Netflix","US","today+5-y","web",0
2022-03-13,52,"Netflix","US","today+5-y","web",0
2022-03-20,50,"Netflix","US","today+5-y","web",0
2022-03-27,46,"Netflix","US","today+5-y","web",0
