"date","hits","keyword","geo","time","gprop","category"
2021-09-05,64,"Android","US","today+5-y","web",0
2021-09-12,65,"Android","US","today+5-y","web",0
2021-09-19,73,"Android","US","today+5-y","web",0
2021-09-26,73,"Android","US","today+5-y","web",0
2021-10-03,67,"Android","US","today+5-y","web",0
2021-10-10,67,"Android","US","today+5-y","web",0
2021-10-17,73,"Android","US","today+5-y","web",0
2021-10-24,72,"Android","US","today+5-y","web",0
2021-10-31,75,"Android","US","today+5-y","web",0
2021-11-07,70,"Android","US","today+5-y","web",0
2021-11-14,72,"Android","US","today+5-y","web",0
2021-11-21,73,"Android","US","today+5-y","web",0
2021-11-28,76,"Android","US","today+5-y","web",0
2021-12-05,72,"Android","US","today+5-y","web",0
2021-12-12,70,"Android","US","today+5-y","web",0
2021-12-19,75,"Android","US","today+5-y","web",0
2021-12-26,76,"Android","US","today+5-y","web",0
2022-01-02,75,"Android","US","today+5-y","web",0
2022-01-09,69,"Android","US","today+5-y","web",0
2022-01-16,73,"Android","US","today+5-y","web",0
2022-01-23,73,"Android","US","today+5-y","web",0
2022-01-30,70,"Android","US","today+5-y","web",0
2022-02-06,72,"Android","US","today+5-y","web",0
2022-02-13,75,"Android","US","today+5-y","web",0
2022-02-20,81,"Android","US","today+5-y","web",0
2022-02-27,76,"Android","US","today+5-y","web",0
2022-03-06,79,"Android","US","today+5-y","web",0
2022-03-13,73,"Android","US","today+5-y","web",0
2022-03-20,73,"Android","US","today+5-y","web",0
2022-03-27,77,"Android","US","today+5-y","web",0
2022-04-03,75,"Android","US","today+5-y","web",0
2022-04-10,71,"Android","US","today+5-y","web",0
2022-04-17,70,"Android","US","today+5-y","web",0
2022-04-24,74,"Android","US","today+5-y","web",0
2022-05-01,70,"Android","US","today+5-y","web",0
2022-05-08,75,"Android","US","today+5-y","web",0
2022-05-15,72,"Android","US","today+5-y","web",0
2022-05-22,74,"Android","US","today+5-y","web",0
2022-05-29,72,"Android","US","today+5-y","web",0
2022-06-05,75,"Android","US","today+5-y","web",0
2022-06-12,76,"Android","US","today+5-y","web",0
2022-06-19,75,"Android","US","today+5-y","web",0
2022-06-26,72,"Android","US","today+5-y","web",0
2022-07-03,79,"Android","US","today+5-y","web",0
2022-07-10,78,"Android","US","today+5-y","web",0
2022-07-17,77,"Android","US","today+5-y","web",0
2022-07-24,76,"Android","US","today+5-y","web",0
2022-07-31,74,"Android","US","today+5-y","web",0
2022-08-07,76,"Android","US","today+5-y","web",0
2022-08-14,79,"Android","US","today+5-y","web",0
2022-08-21,79,"Android","US","today+5-y","web",0
2022-08-28,74,"Android","US","today+5-y","web",0
2022-09-04,74,"Android","US","today+5-y","web",0
2022-09-11,73,"Android","US","today+5-y","web",0
2022-09-18,74,"Android","US","today+5-y","web",0
2022-09-25,70,"Android","US","today+5-y","web",0
2022-10-02,70,"Android","US","today+5-y","web",0
2022-10-09,73,"Android","US","today+5-y","web",0
2022-10-16,69,"Android","US","today+5-y","web",0
2022-10-23,68,"Android","US","today+5-y","web",0
2022-10-30,71,"Android","US","today+5-y","web",0
2022-11-06,68,"Android","US","today+5-y","web",0
2022-11-13,68,"Android","US","today+5-y","web",0
2022-11-20,71,"Android","US","today+5-y","web",0
2022-11-27,69,"Android","US","today+5-y","web",0
2022-12-04,67,"Android","US","today+5-y","web",0
2022-12-11,66,"Android","US","today+5-y","web",0
2022-12-18,69,"Android","US","today+5-y","web",0
2022-12-25,79,"Android","US","today+5-y","web",0
2023-01-01,71,"Android","US","today+5-y","web",0
2023-01-08,67,"Android","US","today+5-y","web",0
2023-01-15,71,"Android","US","today+5-y","web",0
2023-01-22,65,"Android","US","today+5-y","web",0
2023-01-29,66,"Android","US","today+5-y","web",0
2023-02-05,65,"Android","US","today+5-y","web",0
2023-02-12,65,"Android","US","today+5-y","web",0
2023-02-19,67,"Android","US","today+5-y","web",0
2023-02-26,67,"Android","US","today+5-y","web",0
2023-03-05,67,"Android","US","today+5-y","web",0
2023-03-12,67,"Android","US","today+5-y","web",0
2023-03-19,68,"Android","US","today+5-y","web",0
2023-03-26,65,"Android","US","today+5-y","web",0
2023-04-02,67,"Android","US","today+5-y","web",0
2023-04-09,69,"Android","US","today+5-y","web",0
2023-04-16,70,"Android","US","today+5-y","web",0
2023-04-23,66,"Android","US","today+5-y","web",0
2023-04-30,65,"Android","US","today+5-y","web",0
2023-05-07,67,"Android","US","today+5-y","web",0
2023-05-14,72,"Android","US","today+5-y","web",0
2023-05-21,69,"Android","US","today+5-y","web",0
2023-05-28,70,"Android","US","today+5-y","web",0
2023-06-04,72,"Android","US","today+5-y","web",0
2023-06-11,71,"Android","US","today+5-y","web",0
2023-06-18,72,"Android","US","today+5-y","web",0
2023-06-25,73,"Android","US","today+5-y","web",0
2023-07-02,74,"Android","US","today+5-y","web",0
2023-07-09,75,"Android","US","today+5-y","web",0
2023-07-16,72,"Android","US","today+5-y","web",0
2023-07-23,77,"Android","US","today+5-y","web",0
2023-07-30,72,"Android","US","today+5-y","web",0
2023-08-06,73,"Android","US","today+5-y","web",0
2023-08-13,71,"Android","US","today+5-y","web",0
2023-08-20,72,"Android","US","today+5-y","web",0
2023-08-27,72,"Android","US","today+5-y","web",0
2023-09-03,71,"Android","US","today+5-y","web",0
2023-09-10,67,"Android","US","today+5-y","web",0
2023-09-17,70,"Android","US","today+5-y","web",0
2023-09-24,74,"Android","US","today+5-y","web",0
2023-10-01,75,"Android","US","today+5-y","web",0
2023-10-08,73,"Android","US","today+5-y","web",0
2023-10-15,72,"Android","US","today+5-y","web",0
2023-10-22,71,"Android","US","today+5-y","web",0
2023-10-29,68,"Android","US","today+5-y","web",0
2023-11-05,69,"Android","US","today+5-y","web",0
2023-11-12,69,"Android","US","today+5-y","web",0
2023-11-19,74,"Android","US","today+5-y","web",0
2023-11-26,72,"Android","US","today+5-y","web",0
2023-12-03,72,"Android","US","today+5-y","web",0
2023-12-10,69,"Android","US","today+5-y","web",0
2023-12-17,72,"Android","US","today+5-y","web",0
2023-12-24,78,"Android","US","today+5-y","web",0
2023-12-31,72,"Android","US","today+5-y","web",0
2024-01-07,67,"Android","US","today+5-y","web",0
2024-01-14,70,"Android","US","today+5-y","web",0
2024-01-21,63,"Android","US","today+5-y","web",0
2024-01-28,60,"Android","US","today+5-y","web",0
2024-02-04,60,"Android","US","today+5-y","web",0
2024-02-11,58,"Android","US","today+5-y","web",0
2024-02-18,59,"Android","US","today+5-y","web",0
2024-02-25,60,"Android","US","today+5-y","web",0
2024-03-03,58,"Android","US","today+5-y","web",0
2024-03-10,60,"Android","US","today+5-y","web",0
2024-03-17,59,"Android","US","today+5-y","web",0
2024-03-24,60,"Android","US","today+5-y","web",0
2024-03-31,64,"Android","US","today+5-y","web",0
