"","date","hits","keyword","geo","time","gprop","category"
"100",2021-02-21,83,"Bitcoin","US","today+5-y","web",0
"101",2021-02-28,60,"Bitcoin","US","today+5-y","web",0
"102",2021-03-07,56,"Bitcoin","US","today+5-y","web",0
"103",2021-03-14,60,"Bitcoin","US","today+5-y","web",0
"104",2021-03-21,53,"Bitcoin","US","today+5-y","web",0
"105",2021-03-28,50,"Bitcoin","US","today+5-y","web",0
"106",2021-04-04,42,"Bitcoin","US","today+5-y","web",0
"107",2021-04-11,63,"Bitcoin","US","today+5-y","web",0
"108",2021-04-18,75,"Bitcoin","US","today+5-y","web",0
"109",2021-04-25,50,"Bitcoin","US","today+5-y","web",0
"110",2021-05-02,51,"Bitcoin","US","today+5-y","web",0
"111",2021-05-09,66,"Bitcoin","US","today+5-y","web",0
"112",2021-05-16,100,"Bitcoin","US","today+5-y","web",0
"113",2021-05-23,72,"Bitcoin","US","today+5-y","web",0
"114",2021-05-30,48,"Bitcoin","US","today+5-y","web",0
"115",2021-06-06,53,"Bitcoin","US","today+5-y","web",0
"116",2021-06-13,43,"Bitcoin","US","today+5-y","web",0
"117",2021-06-20,48,"Bitcoin","US","today+5-y","web",0
"118",2021-06-27,37,"Bitcoin","US","today+5-y","web",0
"119",2021-07-04,31,"Bitcoin","US","today+5-y","web",0
"120",2021-07-11,29,"Bitcoin","US","today+5-y","web",0
"121",2021-07-18,35,"Bitcoin","US","today+5-y","web",0
"122",2021-07-25,40,"Bitcoin","US","today+5-y","web",0
"123",2021-08-01,32,"Bitcoin","US","today+5-y","web",0
"124",2021-08-08,37,"Bitcoin","US","today+5-y","web",0
"125",2021-08-15,30,"Bitcoin","US","today+5-y","web",0
"126",2021-08-22,31,"Bitcoin","US","today+5-y","web",0
"127",2021-08-29,27,"Bitcoin","US","today+5-y","web",0
"128",2021-09-05,39,"Bitcoin","US","today+5-y","web",0
"129",2021-09-12,27,"Bitcoin","US","today+5-y","web",0
"130",2021-09-19,36,"Bitcoin","US","today+5-y","web",0
"131",2021-09-26,28,"Bitcoin","US","today+5-y","web",0
"132",2021-10-03,34,"Bitcoin","US","today+5-y","web",0
"133",2021-10-10,39,"Bitcoin","US","today+5-y","web",0
"134",2021-10-17,55,"Bitcoin","US","today+5-y","web",0
"135",2021-10-24,46,"Bitcoin","US","today+5-y","web",0
"136",2021-10-31,35,"Bitcoin","US","today+5-y","web",0
"137",2021-11-07,41,"Bitcoin","US","today+5-y","web",0
"138",2021-11-14,40,"Bitcoin","US","today+5-y","web",0
"139",2021-11-21,35,"Bitcoin","US","today+5-y","web",0
"140",2021-11-28,40,"Bitcoin","US","today+5-y","web",0
"141",2021-12-05,42,"Bitcoin","US","today+5-y","web",0
"142",2021-12-12,37,"Bitcoin","US","today+5-y","web",0
"143",2021-12-19,34,"Bitcoin","US","today+5-y","web",0
"144",2021-12-26,32,"Bitcoin","US","today+5-y","web",0
"145",2022-01-02,40,"Bitcoin","US","today+5-y","web",0
"146",2022-01-09,37,"Bitcoin","US","today+5-y","web",0
"147",2022-01-16,43,"Bitcoin","US","today+5-y","web",0
"148",2022-01-23,54,"Bitcoin","US","today+5-y","web",0
"149",2022-01-30,36,"Bitcoin","US","today+5-y","web",0
"150",2022-02-06,37,"Bitcoin","US","today+5-y","web",0
"151",2022-02-13,33,"Bitcoin","US","today+5-y","web",0
"152",2022-02-20,41,"Bitcoin","US","today+5-y","web",0
"153",2022-02-27,35,"Bitcoin","US","today+5-y","web",0
"154",2022-03-06,33,"Bitcoin","US","today+5-y","web",0
"155",2022-03-13,28,"Bitcoin","US","today+5-y","web",0
"156",2022-03-20,27,"Bitcoin","US","today+5-y","web",0
"157",2022-03-27,28,"Bitcoin","US","today+5-y","web",0
"158",2022-04-03,26,"Bitcoin","US","today+5-y","web",0
"159",2022-04-10,26,"Bitcoin","US","today+5-y","web",0
"160",2022-04-17,22,"Bitcoin","US","today+5-y","web",0
"161",2022-04-24,23,"Bitcoin","US","today+5-y","web",0
"162",2022-05-01,26,"Bitcoin","US","today+5-y","web",0
"163",2022-05-08,58,"Bitcoin","US","today+5-y","web",0
"164",2022-05-15,40,"Bitcoin","US","today+5-y","web",0
"165",2022-05-22,31,"Bitcoin","US","today+5-y","web",0
"166",2022-05-29,27,"Bitcoin","US","today+5-y","web",0
"167",2022-06-05,26,"Bitcoin","US","today+5-y","web",0
"168",2022-06-12,79,"Bitcoin","US","today+5-y","web",0
"169",2022-06-19,54,"Bitcoin","US","today+5-y","web",0
"170",2022-06-26,40,"Bitcoin","US","today+5-y","web",0
"171",2022-07-03,35,"Bitcoin","US","today+5-y","web",0
"172",2022-07-10,32,"Bitcoin","US","today+5-y","web",0
"173",2022-07-17,33,"Bitcoin","US","today+5-y","web",0
"174",2022-07-24,28,"Bitcoin","US","today+5-y","web",0
"175",2022-07-31,23,"Bitcoin","US","today+5-y","web",0
"176",2022-08-07,22,"Bitcoin","US","today+5-y","web",0
"177",2022-08-14,21,"Bitcoin","US","today+5-y","web",0
"178",2022-08-21,21,"Bitcoin","US","today+5-y","web",0
"179",2022-08-28,21,"Bitcoin","US","today+5-y","web",0
"180",2022-09-04,22,"Bitcoin","US","today+5-y","web",0
"181",2022-09-11,22,"Bitcoin","US","today+5-y","web",0
"182",2022-09-18,24,"Bitcoin","US","today+5-y","web",0
